"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"BE","ARG","1","Argentina","ARG","Argentina",2016,"Import",5,0
"BE","ARG","1","Argentina","ARG","Argentina",2017,"Import",5,0
"BE","ARG","1","Argentina","ARG","Argentina",2018,"Import",5,0
"BE","ARG","1","Argentina","AUS","Australia",2016,"Export",6,87800.888
"BE","ARG","1","Argentina","AUS","Australia",2016,"Import",5,7228.781
"BE","ARG","1","Argentina","AUS","Australia",2017,"Export",6,88863.111
"BE","ARG","1","Argentina","AUS","Australia",2017,"Import",5,7064.883
"BE","ARG","1","Argentina","AUS","Australia",2018,"Export",6,30744.466
"BE","ARG","1","Argentina","AUS","Australia",2018,"Import",5,2710.1
"BE","ARG","1","Argentina","BGD","Bangladesh",2016,"Export",6,447047.111
"BE","ARG","1","Argentina","BGD","Bangladesh",2017,"Export",6,530711.907
"BE","ARG","1","Argentina","BGD","Bangladesh",2018,"Export",6,486697.923
"BE","ARG","1","Argentina","BRA","Brazil",2016,"Export",6,2740425.41
"BE","ARG","1","Argentina","BRA","Brazil",2016,"Import",5,469519.674
"BE","ARG","1","Argentina","BRA","Brazil",2017,"Export",6,2799727.727
"BE","ARG","1","Argentina","BRA","Brazil",2017,"Import",5,631596.871
"BE","ARG","1","Argentina","BRA","Brazil",2018,"Export",6,2670591.163
"BE","ARG","1","Argentina","BRA","Brazil",2018,"Import",5,794447.203
"BE","ARG","1","Argentina","CAN","Canada",2016,"Export",6,135643.624
"BE","ARG","1","Argentina","CAN","Canada",2016,"Import",5,4596.196
"BE","ARG","1","Argentina","CAN","Canada",2017,"Export",6,144904.283
"BE","ARG","1","Argentina","CAN","Canada",2017,"Import",5,10782.884
"BE","ARG","1","Argentina","CAN","Canada",2018,"Export",6,64158.523
"BE","ARG","1","Argentina","CAN","Canada",2018,"Import",5,10628.882
"BE","ARG","1","Argentina","CHN","China",2016,"Export",6,3619933.63
"BE","ARG","1","Argentina","CHN","China",2016,"Import",5,32069.743
"BE","ARG","1","Argentina","CHN","China",2017,"Export",6,3325411.509
"BE","ARG","1","Argentina","CHN","China",2017,"Import",5,33704.019
"BE","ARG","1","Argentina","CHN","China",2018,"Export",6,2824158.534
"BE","ARG","1","Argentina","CHN","China",2018,"Import",5,17137.005
"BE","ARG","1","Argentina","COL","Colombia",2016,"Export",6,191546.607
"BE","ARG","1","Argentina","COL","Colombia",2016,"Import",5,17798.327
"BE","ARG","1","Argentina","COL","Colombia",2017,"Export",6,174613.862
"BE","ARG","1","Argentina","COL","Colombia",2017,"Import",5,23605.957
"BE","ARG","1","Argentina","COL","Colombia",2018,"Export",6,114919.462
"BE","ARG","1","Argentina","COL","Colombia",2018,"Import",5,13063.399
"BE","ARG","1","Argentina","DEU","Germany",2016,"Export",6,426932.901
"BE","ARG","1","Argentina","DEU","Germany",2016,"Import",5,24415.371
"BE","ARG","1","Argentina","DEU","Germany",2017,"Export",6,426144.222
"BE","ARG","1","Argentina","DEU","Germany",2017,"Import",5,33159.953
"BE","ARG","1","Argentina","DEU","Germany",2018,"Export",6,368790.645
