"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD"
"H5","ARE"," Total","United Arab Emirates","ABW","Aruba",2019,"Export",6,2237.482
"H5","ARE"," Total","United Arab Emirates","ABW","Aruba",2019,"Import",5,889.713
"H5","ARE"," Total","United Arab Emirates","AFG","Afghanistan",2019,"Export",6,324216.911
"H5","ARE"," Total","United Arab Emirates","AFG","Afghanistan",2019,"Import",5,1004433.618
"H5","ARE"," Total","United Arab Emirates","AGO","Angola",2019,"Export",6,57268.861
"H5","ARE"," Total","United Arab Emirates","AGO","Angola",2019,"Import",5,1294307.775
"H5","ARE"," Total","United Arab Emirates","AIA","Anguila",2019,"Export",6,55.424
"H5","ARE"," Total","United Arab Emirates","AIA","Anguila",2019,"Import",5,0.015
"H5","ARE"," Total","United Arab Emirates","ALB","Albania",2019,"Export",6,5233.918
"H5","ARE"," Total","United Arab Emirates","ALB","Albania",2019,"Import",5,7362.217
"H5","ARE"," Total","United Arab Emirates","AND","Andorra",2019,"Export",6,3.353
"H5","ARE"," Total","United Arab Emirates","AND","Andorra",2019,"Import",5,407.108
"H5","ARE"," Total","United Arab Emirates","ARG","Argentina",2019,"Export",6,34291.146
"H5","ARE"," Total","United Arab Emirates","ARG","Argentina",2019,"Import",5,256753.756
"H5","ARE"," Total","United Arab Emirates","ARM","Armenia",2019,"Export",6,57593.053
"H5","ARE"," Total","United Arab Emirates","ARM","Armenia",2019,"Import",5,21820.695
"H5","ARE"," Total","United Arab Emirates","ASM","American Samoa",2019,"Export",6,2.941
"H5","ARE"," Total","United Arab Emirates","ASM","American Samoa",2019,"Import",5,5.848
"H5","ARE"," Total","United Arab Emirates","ATA","Antarctica",2019,"Import",5,5.681
"H5","ARE"," Total","United Arab Emirates","ATG","Antigua and Barbuda",2019,"Export",6,39.594
"H5","ARE"," Total","United Arab Emirates","ATG","Antigua and Barbuda",2019,"Import",5,1457.465
"H5","ARE"," Total","United Arab Emirates","AUS","Australia",2019,"Export",6,386619.945
"H5","ARE"," Total","United Arab Emirates","AUS","Australia",2019,"Import",5,3319836.573
"H5","ARE"," Total","United Arab Emirates","AUT","Austria",2019,"Export",6,28755.158
"H5","ARE"," Total","United Arab Emirates","AUT","Austria",2019,"Import",5,1031546.777
"H5","ARE"," Total","United Arab Emirates","AZE","Azerbaijan",2019,"Export",6,68303.007
"H5","ARE"," Total","United Arab Emirates","AZE","Azerbaijan",2019,"Import",5,4843.791
"H5","ARE"," Total","United Arab Emirates","BDI","Burundi",2019,"Export",6,3626.279
"H5","ARE"," Total","United Arab Emirates","BDI","Burundi",2019,"Import",5,143844.056
"H5","ARE"," Total","United Arab Emirates","BEL","Belgium",2019,"Export",6,196233.845
"H5","ARE"," Total","United Arab Emirates","BEL","Belgium",2019,"Import",5,2689513.344
"H5","ARE"," Total","United Arab Emirates","BEN","Benin",2019,"Export",6,23831.383
"H5","ARE"," Total","United Arab Emirates","BEN","Benin",2019,"Import",5,454320.576
"H5","ARE"," Total","United Arab Emirates","BFA","Burkina Faso",2019,"Export",6,36451.269
"H5","ARE"," Total","United Arab Emirates","BFA","Burkina Faso",2019,"Import",5,5330.461
"H5","ARE"," Total","United Arab Emirates","BGD","Bangladesh",2019,"Export",6,881432.067
"H5","ARE"," Total","United Arab Emirates","BGD","Bangladesh",2019,"Import",5,510962.673
"H5","ARE"," Total","United Arab Emirates","BGR","Bulgaria",2019,"Export",6,19578.115
"H5","ARE"," Total","United Arab Emirates","BGR","Bulgaria",2019,"Import",5,165402.538
"H5","ARE"," Total","United Arab Emirates","BHR","Bahrain",2019,"Export",6,1363487.949
"H5","ARE"," Total","United Arab Emirates","BHR","Bahrain",2019,"Import",5,4285865.475
"H5","ARE"," Total","United Arab Emirates","BHS","Bahamas, The",2019,"Export",6,357.496
"H5","ARE"," Total","United Arab Emirates","BHS","Bahamas, The",2019,"Import",5,3669.769
"H5","ARE"," Total","United Arab Emirates","BIH","Bosnia and Herzegovina",2019,"Export",6,1180.026
"H5","ARE"," Total","United Arab Emirates","BIH","Bosnia and Herzegovina",2019,"Import",5,24659.123
"H5","ARE"," Total","United Arab Emirates","BLR","Belarus",2019,"Export",6,6677.391
"H5","ARE"," Total","United Arab Emirates","BLR","Belarus",2019,"Import",5,81264.2
"H5","ARE"," Total","United Arab Emirates","BLZ","Belize",2019,"Export",6,8389.454
"H5","ARE"," Total","United Arab Emirates","BLZ","Belize",2019,"Import",5,1816.776
"H5","ARE"," Total","United Arab Emirates","BMU","Bermuda",2019,"Export",6,340.104
"H5","ARE"," Total","United Arab Emirates","BMU","Bermuda",2019,"Import",5,7.82
"H5","ARE"," Total","United Arab Emirates","BOL","Bolivia",2019,"Export",6,648.007
"H5","ARE"," Total","United Arab Emirates","BOL","Bolivia",2019,"Import",5,950438.326
"H5","ARE"," Total","United Arab Emirates","BRA","Brazil",2019,"Export",6,49725.069
"H5","ARE"," Total","United Arab Emirates","BRA","Brazil",2019,"Import",5,2700652.605
"H5","ARE"," Total","United Arab Emirates","BRB","Barbados",2019,"Export",6,2393.869
"H5","ARE"," Total","United Arab Emirates","BRB","Barbados",2019,"Import",5,860.556
"H5","ARE"," Total","United Arab Emirates","BRN","Brunei",2019,"Export",6,2329.937
"H5","ARE"," Total","United Arab Emirates","BRN","Brunei",2019,"Import",5,246.737
"H5","ARE"," Total","United Arab Emirates","BTN","Bhutan",2019,"Export",6,157.854
"H5","ARE"," Total","United Arab Emirates","BTN","Bhutan",2019,"Import",5,14.226
"H5","ARE"," Total","United Arab Emirates","BWA","Botswana",2019,"Export",6,3385.098
"H5","ARE"," Total","United Arab Emirates","BWA","Botswana",2019,"Import",5,1333342.359
"H5","ARE"," Total","United Arab Emirates","CAF","Central African Republic",2019,"Export",6,3582.348
"H5","ARE"," Total","United Arab Emirates","CAF","Central African Republic",2019,"Import",5,15035.186
"H5","ARE"," Total","United Arab Emirates","CAN","Canada",2019,"Export",6,129636.438
