"i";"nb";"exp";"imp";"exp_pct";"imp_pct";"vol_pct";"sol_pct";"vol_rnk";"country";"GDP";"WPI"
"ABW";69;0.980355014;0.980355014;0.00569437353022344;0.00569437353022344;0.00569437353022344;0;177;"Aruba";2.9806331471136;188.25
"AFG";81;5.709806293;5.709806293;0.0331653017052478;0.0331653017052478;0.0331653017052478;0;121;"Afghanistan";18.8879582617136;64.8333333333333
"AGO";91;8.561365989;8.561365989;0.0497285321889697;0.0497285321889697;0.0497285321889697;0;102;"Angola";105.922050225219;47.0833333333333
"ALB";85;5.366332755;5.366332755;0.0311702421653989;0.0311702421653989;0.0311702421653989;0;126;"Albania";13.338788878567;132.833333333333
"AND";64;1.462992649;1.462992649;0.0084977650916335;0.0084977650916335;0.0084977650916335;0;163;"Andorra";3.01182082999015;189.5
"ARE";215;62.581217108;208.317005664;0.363501814240695;1.21000538173255;0.786753597986622;-0.846503567491854;30;"United Arab Emirates";388.828588181967;82.3333333333333
"ARG";168;64.004800332;49.359184213;0.371770670433657;0.286701886604448;0.329236278519053;0.0850687838292092;45;"Argentina";551.796240961198;19.3333333333333
"ARM";108;2.436296992;3.641805922;0.014151184932898;0.021153360719638;0.017652272826268;-0.00700217578674003;147;"Armenia";11.7515350927235;134.333333333333
"ASM";42;0.141917358;0.141917358;0.000824324285931019;0.000824324285931019;0.000824324285931019;0;210;"American Samoa";0.63775;200.083333333333
"ATG";70;1.021942061;1.021942061;0.00593593110503578;0.00593593110503578;0.00593593110503578;0;175;"Antigua and Barb.";1.50171407407407;191.5
"AUS";209;257.499827165;196.827625859;1.49568286886478;1.14326953675193;1.31947620280835;0.352413332112845;21;"Australia";1343.83552815044;22
"AUT";217;170.819103768;174.037219381;0.992199528805583;1.01089189239038;1.00154571059798;-0.018692363584796;27;"Austria";418.958866588152;79.1666666666667
"AZE";122;19.346372256;11.973752254;0.112373036815432;0.0695493131762887;0.0909611749958605;0.0428237236391436;78;"Azerbaijan";45.3936073181843;86.6666666666667
"BDI";91;0.198504287;0.417963027;0.00115300839123232;0.00242773032582344;0.00179036935852788;-0.00127472193459112;196;"Burundi";3.05711898492006;137.833333333333
"BEL";227;444.131981207;377.85345492;2.57973220067688;2.19475463609953;2.38724341838821;0.384977564577347;11;"Belgium";503.483832028249;73.3333333333333
"BEN";128;0.897950478;5.392518399;0.00521572834366581;0.0313223409825989;0.0182690346631323;-0.0261066126389331;145;"Benin";12.9105158190294;98.0833333333333
"BFA";123;3.30117211;2.939896735;0.0191747956744738;0.0170763345015894;0.0181255650880316;0.0020984611728844;146;"Burkina Faso";14.1646387832965;86.8333333333333
"BGD";99;53.165660364;53.165660364;0.308811731230266;0.308811731230266;0.308811731230266;0;47;"Bangladesh";248.56304818888;38.6666666666667
"BGR";200;32.767580095;37.357699091;0.190329868341393;0.216991487589661;0.203660677965527;-0.0266616192482678;60;"Bulgaria";59.6429656727146;81.8333333333333
"BHR";89;11.498542246;11.498542246;0.0667890648456238;0.0667890648456238;0.0667890648456238;0;89;"Bahrain";34.9971914893617;140.166666666667
"BHS";76;10.474109483;10.474109483;0.0608386665451966;0.0608386665451966;0.0608386665451966;0;94;"Bahamas";12.54618;159.75
"BIH";144;6.570116067;9.59033238;0.0381623947326703;0.0557052639817649;0.0469338293572176;-0.0175428692490945;105;"Bosnia and Herz.";18.310539002146;117.666666666667
"BLR";164;31.3145964;37.66541134;0.181890240069492;0.218778828359697;0.200334534214594;-0.0368885882902044;61;"Belarus";56.4031413516866;70.3333333333333
"BLZ";99;0.213923796;0.829313363;0.00124257231720275;0.00481705096122228;0.00302981163921252;-0.00357447864401953;188;"Belize";1.81726272;168.916666666667
"BMU";73;0.097098342;1.154909759;0.000563993880397885;0.00670827146036949;0.00363613267038369;-0.00614427757997161;184;"Bermuda";7.081042;181.75
"BOL";80;6.561740264;6.561740264;0.0381137440395883;0.0381137440395883;0.0381137440395883;0;110;"Bolivia";37.1265874775989;68.3333333333333
"BRA";225;223.868677464;188.663182237;1.30033697282353;1.0958465206137;1.19809174671862;0.204490452209833;24;"Brazil";1877.19723273454;6.66666666666667
"BRB";131;0.346752351;1.201100842;0.00201410446305643;0.00697657149108424;0.00449533797707033;-0.00496246702802781;181;"Barbados";4.9637;175.166666666667
"BRN";100;7.02339242;3.830714778;0.0407952418437062;0.0222506342316509;0.0315229380376785;0.0185446076120553;125;"Brunei";12.6992256396449;155.166666666667
"BTN";47;0.807896627;0.807896627;0.00469265225581393;0.00469265225581393;0.00469265225581393;0;180;"Bhutan";2.31806976651296;160.583333333333
"BWA";116;5.24299425;6.249585556;0.0304538327952222;0.0363005993305943;0.0333772160629082;-0.0058467665353721;120;"Botswana";16.8952564258022;118.666666666667
"CAF";72;0.299068134;0.299068134;0.00173713159178367;0.00173713159178367;0.00173713159178367;0;199;"Central African Rep.";2.00689607946134;126.166666666667
"CAN";218;408.360123447;390.544964216;2.37195204242141;2.26847302745947;2.32021253494044;0.103479014961943;12;"Canada";1637.38780864586;15.8333333333333
