city_code;BNK01;BNK02;BNK03;BNK04;BNK05;BNK06;BNK07;BNK08;BNK09;BNK10;BNK11;BNK12;BNK13;BNK14;BNK15;BNK16;BNK17;BNK18;BNK19;BNK20;BNK21;BNK22;BNK23;BNK24;BNK25;BNK26;BNK27;BNK28;BNK29;BNK30;BNK31;BNK32;BNK33;BNK34;BNK35;BNK36;BNK37;BNK38;BNK39;BNK40;BNK41;BNK42;BNK43;BNK44;BNK45;BNK46;BNK47;BNK48;BNK49;BNK50;BNK51;BNK52;BNK53;BNK54;BNK55;BNK56;BNK57;BNK58;BNK59;BNK60;BNK61;BNK62;BNK63;BNK64;BNK65;BNK66;BNK67;BNK68;BNK69;BNK70;BNK71;BNK72;BNK73;BNK74;BNK75;CON01;CON02;CON03;CON04;CON05;CON06;CON07;CON08;CON09;CON10;CON11;CON12;CON13;CON14;CON15;CON16;CON17;CON18;CON19;CON20;CON21;CON22;CON23;CON24;CON25;LAW01;LAW02;LAW03;LAW04;LAW05;LAW06;LAW07;LAW08;LAW09;LAW10;LAW11;LAW12;LAW13;LAW14;LAW15;LAW16;LAW17;LAW18;LAW19;LAW20;LAW21;LAW22;LAW23;LAW24;LAW25;ADV01;ADV02;ADV03;ADV04;ADV05;ADV06;ADV07;ADV08;ADV09;ADV10;ADV11;ADV12;ADV13;ADV14;ADV15;ADV16;ADV17;ADV18;ADV19;ADV20;ADV21;ADV22;ADV23;ADV24;ADV25;ACC01;ACC02;ACC03;ACC04;ACC05;ACC06;ACC07;ACC08;ACC09;ACC10;ACC11;ACC12;ACC13;ACC14;ACC15;ACC16;ACC17;ACC18;ACC19;ACC20;ACC21;ACC22;ACC23;ACC24;ACC25
9990118;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
532;2;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;0;2;0;2;0;2;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0
253;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;3;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;2;2;3;3;2;2;2;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0
2179;0;2;0;0;0;0;0;2;0;0;0;2;0;2;2;0;0;0;0;1;2;0;1;0;0;0;0;1;0;0;2;2;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;0;2;0;2;2;0;0;2;0;0;0;0;2;0;0;1;0;0;2;0;0;0;0;0;0;0;2;0;2;0;0;2;2;2;0;2;2;0;0;2;0;0;2;0;0;0;0;0;0;2;0;2;2;0;0;2;2;2;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;2;0;0;2;2;2;2;2;2;2;2;2;0;2;0;2;2;2;2;2;2;2;0;2;0;2;0;0
260;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;0;3;2;0;3;0;0;2;0;2;0;2;0;2;0;2;0;0;0;0
1783;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
248;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;3;2;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;2;2;2;3;0;2;0;0;0;2;0;0;2;2;2;2;0;2;0;0;0;2;0;0;2
1685;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
1107;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;2;0;2;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
3341;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;0;0;0;0;0;0;0;2;0;0;0;0;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;2;2;2;2;2;2;2;2;2;2;2;2;0;2;2;2;2;2;0;0;2;0;2;0
